Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,DWN,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Glacier BrewHouse,61.2178459,-149.8964654,"737 W 5th Ave #110, Anchorage, AK 99501, United States",ChIJ7bXHMYe9yFYRdVPg648EZGY,/biz/glacier-brewhouse-anchorage?osq=Restaurants,0.62220110333336,4.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Whisky & Ramen,61.2182843,-149.8909192,"436 W 4th Ave, Anchorage, AK 99501, United States",ChIJe-Lt7JKXyFYRN0dhcIkmibs,/biz/whisky-and-ramen-anchorage?osq=Restaurants,0.39591384980266,4.5,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Simon & Seafort's Saloon & Grill,61.2179842,-149.9043854,"420 L St, Anchorage, AK 99501, United States",ChIJn5_VXoG9yFYR9CeiXUVguBc,/biz/simon-and-seaforts-saloon-and-grill-anchorage-2?osq=Restaurants,0.327544027725035,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Snow City Cafe,61.2184456,-149.9033811,"1034 W 4th Ave, Anchorage, AK 99501, United States",ChIJQcnnU4G9yFYRRfrr7uDX1Rs,/biz/snow-city-cafe-anchorage?osq=Restaurants,0.410760289354713,4.3,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Tent City Taphouse,61.216701,-149.8891345,"343 W 6th Ave, Anchorage, AK 99501, United States",ChIJ3ZAgwIuXyFYR-ujjqc9zlbU,/biz/tent-city-taphouse-anchorage?osq=Restaurants,0.278629738373142,4.3,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
F Street Station,61.2189375,-149.8931451,"325 F St, Anchorage, AK 99501, United States",ChIJtc6fbYe9yFYRc5L6LTYU5gY,/biz/f-street-station-anchorage?osq=Restaurants,0.266537347480758,3.9,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Haute Quarter Grill,61.2186851,-149.8925458,"525 W 4th Ave, Anchorage, AK 99501, United States",ChIJ74HaRG7ryFYRF3197YP_l8w,/biz/haute-quarter-grill-anchorage?osq=Restaurants,0.253780822476422,4.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Pangea - Temp. CLOSED,33.4372609,-86.7197095,"3595 Grandview Pkwy #450, Birmingham, AL 35243, United States",ChIJnVJrTKAXiYgReQVPjoETPFU,/biz/pangea-anchorage?osq=Restaurants,0.21479582165139,4.2,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Biscuitclub,61.219076,-149.8884748,"333 W 4th Ave, Anchorage, AK 99501, United States",ChIJfTrjFpaXyFYRlJtC6a6mUrY,/biz/biscuitclub-anchorage?osq=Restaurants,0.221226436290591,4.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Pel Meni Dumplings,61.2177101,-149.9018781,"434 K St, Anchorage, AK 99501, United States",ChIJwYObdTy9yFYRziWn7UvkTFE,/biz/pel-meni-dumplings-anchorage?osq=Restaurants,0.19833260158414,4.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
