Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Sushi On The Fly,61.1755446,-149.9835847,"5000 W International Airport Rd, Anchorage, AK 99502, United States",ChIJnfzlt7OiyFYRHX499dENNR0,/biz/sushi-on-the-fly-anchorage?osq=Restaurants,0.160540587146763,4,99502,17,15845,62.8,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2,0,1161,25.2,0,5.4,1,94355,1,1,0
Silver Gulch Brewing & Bottling,61.1738418,-149.9828571,"5000 W International Airport Rd, Anchorage, AK 99502, United States",ChIJ63i4ibGiyFYRxLQSk3B4Jek,/biz/silver-gulch-brewing-and-bottling-anchorage-2?osq=Restaurants,0.051246033491224,4.2,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Norton Sound Seafood House,61.1734641,-149.9821342,"5000 W International Airport Rd, Anchorage, AK 99502, United States",ChIJBcO49LGiyFYRz9CJiXOrUdE,/biz/norton-sound-seafood-house-anchorage?osq=Restaurants,0.0042221789448078,3.8,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Kincaid Grill,61.1599417,-149.9527306,"6700 Jewel Lake Rd, Anchorage, AK 99502, United States",ChIJt5vPfA-YyFYRc-c1QODBeRA,/biz/kincaid-grill-anchorage?osq=Restaurants,0.18690238525004,4.6,99502,17,15845,62.8,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2,0,1161,25.2,0,5.4,1,94355,1,1,0
Shanghai Tea Garden,61.1382213,-149.9526185,"9150 Jewel Lake Rd, Anchorage, AK 99502, United States",ChIJr2GXymmYyFYRRXBomeuRz_E,/biz/shanghai-tea-garden-anchorage-3?osq=Restaurants,0.0211406066908562,3.5,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Pipers Restaurant and Sports Lounge,61.1749657,-149.9484967,"3450 Aviation Ave, Anchorage, AK 99502, United States",ChIJt-9JNP6XyFYRUBnBBcYGlW0,/biz/pipers-restaurant-and-sports-lounge-anchorage-2?osq=Restaurants,0.125878305624365,3.3,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Thirty Six Bistro,61.1757679,-149.9430422,"4901 Spenard Rd, Anchorage, AK 99517, United States",ChIJUaPyYf6XyFYRVhdAotDkNo0,/biz/thirty-six-bistro-anchorage?osq=Restaurants,0.0042125362705015,3.4,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Fancy Moose Lounge,61.1776141,-149.9425904,"4800 Spenard Rd, Anchorage, AK 99517, United States",ChIJrwPQxP2XyFYR72K-8-TLaqM,/biz/fancy-moose-lounge-anchorage?osq=Restaurants,0.135032815739227,3,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
Flying Machine Restaurant,61.1777657,-149.9420715,"4800 Spenard Rd, Anchorage, AK 99517, United States",ChIJV7pa0f2XyFYRuvAWSxdQaBc,/biz/flying-machine-restaurant-anchorage?osq=Restaurants,0.128674855585524,2.8,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
Jinmi Korean Restaurant,61.1798507,-149.9379702,"4505 Spenard Rd Suite A, Anchorage, AK 99517, United States",ChIJfbrNHP2XyFYRnR_CNGISFGk,/biz/jinmi-korean-restaurant-anchorage?osq=Restaurants,0.175340576085977,4.1,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0
