Name_x,URL,ZIP,Count,AverageExposure,Stars,Latitude,Longitude,Address,PlaceID,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Tacotlan,/biz/tacotlan-chicago?osq=Restaurants,60639,119,0.076603825,4.4,41.9245508,-87.7346732,"4312 W Fullerton Ave, Chicago, IL 60639, United States",ChIJ__9jqh3ND4gRyXxBP4BY1Tk,34865,39.2,0,12769,14.3,0,588,0.7,1,1879,2.1,0,41,0,0,2694,22.2,0,6.3,1,53197,0,0,0
Grandma Annie's Pizza,/biz/grandma-annies-pizza-chicago?osq=Restaurants,60647,248,0.108708208,3.8,41.9101945,-87.7245734,"3912 W North Ave, Chicago, IL 60647, United States",ChIJk9N9iPbND4gR-8GA9mFU_e0,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
The Soul Food Lounge,/biz/the-soul-food-lounge-chicago?osq=Restaurants,60623,71,0.43065666,4.5,41.859042,-87.7204907,"3804 W 16th St, Chicago, IL 60623, United States",ChIJQcmd77gzDogR_eWS1XQ8dv4,22889,29.6,0,22680,29.3,1,623,0.8,1,288,0.4,0,24,0,0,2146,17.9,0,12.5,1,35890,0,0,0
La Nonna,/biz/la-nonna-chicago?osq=Restaurants,60618,177,0.129171183,4.7,41.9429563,-87.7201368,"3400 N Lawndale Ave, Chicago, IL 60618, United States",ChIJa-MntqPND4gRLN1bNdGoJws,62235,65.5,1,2661,2.8,0,199,0.2,0,6151,6.5,0,154,0.2,1,13382,65.7,1,4.8,1,91650,1,0,0
The Little Pickle,/biz/the-little-pickle-chicago?osq=Restaurants,60647,248,0.125538692,4.8,41.9244205,-87.7196575,"3703 W Fullerton Ave, Chicago, IL 60647, United States",ChIJw9rj_xLND4gRTsMqBVc7zqo,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
Wyler Road,/biz/wyler-road-chicago?osq=Restaurants,60647,248,0.084403424,4,41.9225373,-87.7167347,"3581 W Belden Ave, Chicago, IL 60647, United States",ChIJcfE3sGzND4gRnMnsfhhKAd0,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
Loaf Lounge,/biz/loaf-lounge-chicago?osq=Restaurants,60618,177,0.098604017,4.1,41.9345637,-87.7166469,"2934 N Milwaukee Ave Suite E, Chicago, IL 60618, United States",ChIJ0xyjQETND4gRaX412C9BD_4,62235,65.5,1,2661,2.8,0,199,0.2,0,6151,6.5,0,154,0.2,1,13382,65.7,1,4.8,1,91650,1,0,0
Mother's Ruin,/biz/mother-s-ruin-chicago?osq=Restaurants,60618,177,0.153294413,4.5,41.934971,-87.7164668,"2943 N Milwaukee Ave, Chicago, IL 60618, United States",ChIJNaL7s1nND4gRgjh3CyL8e2M,62235,65.5,1,2661,2.8,0,199,0.2,0,6151,6.5,0,154,0.2,1,13382,65.7,1,4.8,1,91650,1,0,0
Dorothy's Bistro,/biz/dorothys-bistro-chicago?osq=Restaurants,60647,248,0.110892949,4.1,41.9247785,-87.715605,"3524 W Fullerton Ave, Chicago, IL 60647, United States",ChIJY9nla2_TD4gR4ICzDlIUzLA,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
Monster Ramen,/biz/monster-ramen-chicago?osq=Restaurants,60647,248,0.178972904,4.3,41.924496,-87.7135482,"3435 W Fullerton Ave, Chicago, IL 60647, United States",ChIJh_X96FXND4gRdTQN8D7WrHU,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
