Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
Astor Restaurant,27.7971049,-97.4649842,"5533 Leopard St, Corpus Christi, TX 78408, United States",ChIJkbafY8FgaIYRL3nGCbVO61U,/biz/astor-restaurant-corpus-christi?osq=Restaurants,78408,0.117813418,3.7,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Recio's Smokehouse,27.7547111,-97.4631345,"5526 Old Brownsville Rd, Corpus Christi, TX 78417, United States",ChIJ34W3IZBfaIYR70sQ6gCzEjs,/biz/recios-smokehouse-corpus-christi-2?osq=Restaurants,78415,0.10388098,2.7,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
The Burger Den,27.8029554,-97.4523025,"5165 I-37, Corpus Christi, TX 78408, United States",ChIJxSbXoilhaIYRUVhR4MLLY-I,/biz/the-burger-den-corpus-christi-2?osq=Restaurants,78411,0.051535725,3.7,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
The Bar-B-Q Man Restaurant,27.8026596,-97.4491095,"4931 IH-37 South, 4931 Ih 37 Access, Corpus Christi, TX 78408, United States",ChIJy_710qRgaIYR38whJA1Yo8c,/biz/the-bar-b-q-man-restaurant-corpus-christi-2?osq=Restaurants,78408,0.092301874,3.8,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Snapka's Drive Inn,27.797662,-97.4483758,"4760 Leopard St, Corpus Christi, TX 78408, United States",ChIJ7cnqKKNgaIYRCXgkxem4pjs,/biz/snapkas-drive-inn-corpus-christi?osq=Restaurants,78408,0.017005944,1.7,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,0
Snapka's Drive Inn,27.797662,-97.4483758,"4760 Leopard St, Corpus Christi, TX 78408, United States",ChIJ7cnqKKNgaIYRCXgkxem4pjs,/biz/snapkas-drive-inn-corpus-christi-2?osq=Restaurants,78411,0.125707779,2.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
La Mala Taquitos,27.7606101,-97.4483725,"749 Horne Rd, Corpus Christi, TX 78416, United States",ChIJq6rPsHpgaIYRd_EfuNQv7k8,/biz/la-mala-taquitos-corpus-christi?osq=Restaurants,78416,0.036787316,4.3,25,9291,61.8,0,1661,11.1,1,38,0.3,0,41,0.3,0,0,0,0,124,5.9,0,9.9,1,40981,0,80,0,0
Birrieria Y Mariscos El General,27.7174798,-97.4379892,"6110 Ayers St, Corpus Christi, TX 78415, United States",ChIJ6b5kdppfaIYRMPtUFOuVXmM,/biz/birrieria-y-mariscos-el-general-corpus-christi?osq=Restaurants,78415,0.165165056,3.6,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Bubba's 33,27.739206,-97.4365173,"1921 S Padre Island Dr, Corpus Christi, TX 78416, United States",ChIJifP08-JfaIYRO9U7nVlIp8Q,/biz/bubbas-33-corpus-christi?osq=Restaurants,78416,0.14800418,4.3,25,9291,61.8,0,1661,11.1,1,38,0.3,0,41,0.3,0,0,0,0,124,5.9,0,9.9,1,40981,0,80,0,0
Hi-Ho Drive Inn,27.7813017,-97.4359377,"3945 Baldwin Blvd, Corpus Christi, TX 78405, United States",ChIJg1TfPYhfaIYRFGD_EPJ0H5g,/biz/hi-ho-drive-inn-corpus-christi-2?osq=Restaurants,78405,0.068843403,4.5,6,9330,65.7,0,496,3.5,0,47,0.3,0,6,0,0,0,0,0,19,1.2,0,3.3,0,31660,0,24,0,0
