Restaurant,Latitude,Longitude,Address,Place-ID,URL,ZIP,Avg. exposure,Stars,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attraction,Hotspot
Il Pastaio,34.0708413,-118.400882,"400 N Canon Dr, Beverly Hills, CA 90210, United States",ChIJHyxdbQe8woARxadFSuW4Ok4,/biz/il-pastaio-beverly-hills?osq=Restaurants,90210,0.004305816,3.9,16406,83.6,374,1.9,21,0.1,996,5.1,0,0,1042,70,4.4,154740,1,0
Manzke,34.0553761,-118.3976024,"9575 W Pico Blvd, Los Angeles, CA 90035, United States",ChIJHxC85uO7woARBABVGm0-F7A,/biz/manzke-los-angeles?osq=Restaurants,90035,0.110053824,4.6,19345,73.2,1788,6.8,29,0.1,1825,6.9,58,0.2,3331,73,6.5,101570,0,0
Bicyclette,34.0553761,-118.3976002,"9575 W Pico Blvd, Los Angeles, CA 90035, United States",ChIJu5Y0uG67woARvE5Nmmmtv_0,/biz/bicyclette-los-angeles-2?osq=Restaurants,90035,0.052231777,4.1,19345,73.2,1788,6.8,29,0.1,1825,6.9,58,0.2,3331,73,6.5,101570,0,0
LAVO Ristorante,34.0909518,-118.3925134,"9201 Sunset Blvd Suite 100, West Hollywood, CA 90069, United States",ChIJXQJme12_woARbospaYJsQZc,/biz/lavo-ristorante-west-hollywood?osq=Restaurants,90069,0.115888890333333,3.7,16332,80.9,557,2.8,0,0,1455,7.2,0,0,4045,79.5,7.4,98440,1,0
Ardor,34.0903625,-118.3895841,"9040 Sunset Blvd, West Hollywood, CA 90069, United States",ChIJH50jK7q_woARoGL0jC_3YCA,/biz/ardor-west-hollywood?osq=Restaurants,90069,0.030323046,4.2,16332,80.9,557,2.8,0,0,1455,7.2,0,0,4045,79.5,7.4,98440,1,0
Crustica,34.0821863,-118.3885369,"9045 Santa Monica Blvd, West Hollywood, CA 90069, United States",ChIJmf6Abvq_woAR2V0v5mSwbgs,/biz/crustica-west-hollywood?osq=Restaurants,90069,0.0258552256666667,4.3,16332,80.9,557,2.8,0,0,1455,7.2,0,0,4045,79.5,7.4,98440,1,0
Firefly,34.1414298,-118.3884489,"11720 Ventura Blvd, Studio City, CA 91604, United States",ChIJczmOIgm-woARRRSIOSN8rDk,/biz/firefly-studio-city?osq=Restaurants,91604,0.138284251666667,3.9,24933,76.3,1329,4.1,97,0.3,2650,8.1,0,0,4078,75.5,8.1,124271,0,0
Il Cielo,34.071839,-118.388383,"9018 Burton Way, Beverly Hills, CA 90211, United States",ChIJpX3FuVS5woAR9UWSsD95z4Y,/biz/il-cielo-beverly-hills-3?osq=Restaurants,90211,0.0879512786666667,4,6246,67.9,186,2,0,0,1830,19.9,0,0,942,67.8,9.3,89946,0,0
Great White Melrose,34.0809762,-118.3872782,"8917 Melrose Ave, West Hollywood, CA 90069, United States",ChIJZ0BQ2aG_woARPg5yDkOvaiw,/biz/great-white-melrose-west-hollywood?osq=Restaurants,90069,0.0461084993333333,4,16332,80.9,557,2.8,0,0,1455,7.2,0,0,4045,79.5,7.4,98440,1,0
etta,34.0282487,-118.3870538,"8801 Washington Blvd, Culver City, CA 90232, United States",ChIJ2xBhsim5woARKtbHYOJw_1c,/biz/etta-culver-city-2?osq=Restaurants,90232,0.149302252666667,4.3,9224,60.1,769,5,18,0.1,3146,20.5,0,0,2421,70.7,5.7,105932,0,0
