Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment ,HUne,Wealth,HWe,Attraction,Hotspot
Mosca's Restaurant,29.9112143,-90.2293607,"4137 US-90 West, Westwego, LA 70094, United States",ChIJIW6gP2S5IIYRVc2WFTBvQNg,/biz/moscas-restaurant-westwego?osq=Restaurants,70094,0.0642483044611697,4.2,1,13017,42.4,1,14499,47.2,0,137,0.4,1,1197,3.9,1,0,0,0,481,12,0,8.2,1,41237,0,0,0
Foodies Destination,30.0068355,-90.1958065,"3324 Transcontinental Dr, Metairie, LA 70006, United States",ChIJJ6RVuOuxIIYRus93Bz9E-KA,/biz/foodies-destination-new-orleans?osq=Restaurants,70112,0.158928545379052,4,34,1465,41.2,1,1793,50.5,0,0,0,0,140,3.9,1,0,0,0,400,53.1,1,7.5,1,29625,0,1,0
Chef Ron's Gumbo Stop,29.994265,-90.155055,"2309 N Causeway Blvd, Metairie, LA 70001, United States",ChIJKQ9b3xiwIIYRWViWuSDX_4g,/biz/chef-rons-gumbo-stop-metairie?osq=Restaurants,70001,0.152504893428731,4.5,1,28980,76.1,1,5014,13.2,0,176,0.5,1,1130,3,1,0,0,0,2143,37.9,0,3.3,0,56724,1,0,0
Brigtsen's Restaurant,29.9456827,-90.1347506,"723 Dante St, New Orleans, LA 70118, United States",ChIJ78dwoz6lIIYR5xwiW0yPSzw,/biz/brigtsens-restaurant-new-orleans?osq=Restaurants,70118,0.0263758061877217,4.2,7,17467,47.3,1,15639,42.3,0,116,0.3,1,2013,5.4,1,0,0,0,3181,57.4,1,7.9,1,50597,1,1,0
The Camellia Grill,29.9438499,-90.1339165,"626 S Carrollton Ave, New Orleans, LA 70118, United States",ChIJpdlCODylIIYRyeE-wYHtahE,/biz/the-camellia-grill-new-orleans?osq=Restaurants,70118,0.0658930201198577,4.1,7,17467,47.3,1,15639,42.3,0,116,0.3,1,2013,5.4,1,0,0,0,3181,57.4,1,7.9,1,50597,1,1,0
Jacques-Imo's Cafe,29.9490747,-90.132254,"8324 Oak St, New Orleans, LA 70118, United States",ChIJhRTlvj-lIIYRb1qdXzLPu-Y,/biz/jacques-imos-cafe-new-orleans?osq=Restaurants,70118,0.264959631074097,4.4,7,17467,47.3,1,15639,42.3,0,116,0.3,1,2013,5.4,1,0,0,0,3181,57.4,1,7.9,1,50597,1,1,0
Mukbang Seafood,29.9488979,-90.1318345,"8312 Oak St, New Orleans, LA 70118, United States",ChIJM5do1NelIIYRZQ3x2Fjv6DU,/biz/mukbang-seafood-new-orleans?osq=Restaurants,70118,0.0084811870359812,4.9,7,17467,47.3,1,15639,42.3,0,116,0.3,1,2013,5.4,1,0,0,0,3181,57.4,1,7.9,1,50597,1,1,0
Sukeban,29.9477479,-90.1304153,"8126 Oak St, New Orleans, LA 70118, United States",ChIJE_hgLAylIIYRSiWvC_-wHR0,/biz/sukeban-new-orleans?osq=Restaurants,70118,0.137519231806982,3.2,7,17467,47.3,1,15639,42.3,0,116,0.3,1,2013,5.4,1,0,0,0,3181,57.4,1,7.9,1,50597,1,1,0
Boucherie,29.9498344,-90.1278338,"8115 Jeannette St, New Orleans, LA 70118, United States",ChIJ32GTxBSlIIYRiulaSPR0EgM,/biz/boucherie-new-orleans?osq=Restaurants,70118,0.142018878390636,4.7,7,17467,47.3,1,15639,42.3,0,116,0.3,1,2013,5.4,1,0,0,0,3181,57.4,1,7.9,1,50597,1,1,0
Joel's Lobster Rolls,29.9444442678464,-90.1260415651249,"New Orleans, LA 70118  East Carrollton",-,/biz/joel-s-lobster-rolls-new-orleans?osq=Restaurants,70118,0.116626609969302,4.5,7,17467,47.3,1,15639,42.3,0,116,0.3,1,2013,5.4,1,0,0,0,3181,57.4,1,7.9,1,50597,1,1,0
