Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Hometown Bar-B-Que,40.6749167,-74.0161583,"454 Van Brunt St, Brooklyn, NY 11231, United States",ChIJ0VWwJI9awokRoiFWFqYZMQ8,/biz/hometown-bar-b-que-brooklyn-3?osq=Restaurants,11231,0.118011778,3.6,3,26885,66.7,1,5324,13.2,0,183,0.5,0,2029,5,0,653,1.6,1,5120,77,1,7.9,1,121638,1,0,0
YunShang Rice Noodle House,40.635291,-74.011219,"752A 61st St, Brooklyn, NY 11220, United States",ChIJU-o7KRpFwokRpfaHIjLBKJk,/biz/yunshang-rice-noodle-house-new-york-5?osq=Restaurants,10013,0.06398124,3.7,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,0
Luke's Lobster FiDi,40.7046738,-74.0107523,"26 S William St, New York, NY 10004, United States",ChIJEdxJIBRawokRK4AqcCIkKbA,/biz/lukes-lobster-fidi-new-york?osq=Restaurants,10004,0.005062736,4.7,2,2758,57.5,1,162,3.4,0,0,0,0,1593,33.2,1,0,0,0,1323,97.2,1,1.6,0,216017,1,1,0
Ajisai on Duane,40.7175486,-74.0102046,"183 Duane St, New York, NY 10013, United States",ChIJMyQevl5bwokR7kEbVaxhJVU,/biz/ajisai-on-duane-new-york?osq=Restaurants,10013,0.130939426,4.8,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,0
Lindens,40.7245348,-74.0084684,"2 Renwick St, New York, NY 10013, United States",ChIJh-oPySxZwokRBTfrxwTdRo4,/biz/lindens-new-york?osq=Restaurants,10013,0.010206319,4.2,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,0
Farida Central Asian Cuisine & Grill - Downtown,40.7071242,-74.0083922,"32 Cedar St, New York, NY 10005, United States",ChIJT6iakMdbwokRr7eIzot7L5Y,/biz/farida-central-asian-cuisine-and-grill-downtown-new-york?osq=Restaurants,10005,0.210208615,4.6,2,6496,75.2,1,147,1.7,0,0,0,0,1180,13.7,0,0,0,0,3583,97.9,1,3.2,0,197188,1,0,0
JeJu Noodle Bar,40.7329889,-74.0073417,"679 Greenwich St, New York, NY 10014, United States",ChIJvSw_uuxZwokRwESVzh5G33s,/biz/jeju-noodle-bar-new-york?osq=Restaurants,10014,0.182473844,4.2,17,25507,85.6,1,539,1.8,0,27,0.1,0,1377,4.6,0,0,0,0,8297,97.2,1,7.4,1,136559,1,1,0
Mezcali,40.7075141,-74.0073321,"83 Maiden Ln, New York, NY 10038, United States",ChIJA12lvtpbwokRx1g73PPypIM,/biz/mezcali-new-york?osq=Restaurants,10038,0.124251972,3.9,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,0
1803 Nyc,40.7154526,-74.0072701,"82 Reade St, New York, NY 10007, United States",ChIJ0yKXaB9awokR6WFqdEE9aBY,/biz/1803-new-york?osq=Restaurants,10007,0.077337902,4.2,1,6173,75.3,1,736,9,0,0,0,0,1064,13,0,0,0,0,1900,89.8,1,2.8,0,250000,1,1,0
The Leroy House,40.730622,-74.006532,"430 Hudson St, New York, NY 10014, United States",ChIJVVWpMu1ZwokRXFjIo4p2ZDM,/biz/the-leroy-house-new-york-5?osq=Restaurants,10014,0.146664189,4.5,17,25507,85.6,1,539,1.8,0,27,0.1,0,1377,4.6,0,0,0,0,8297,97.2,1,7.4,1,136559,1,1,1
