Name_x,URL,ZIP,Avg. Exposure,Stars,Latitude,Longitude,Address,Place-ID,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Hook Fish,/biz/hook-fish-san-francisco-6?osq=Restaurants,94122,0.175280346,4.3,37.7623799,-122.5068746,"4542 Irving St, San Francisco, CA 94122, United States",ChIJG1iGoY-HhYAR-XNMTpeTJ4I,23348,38.8,1140,1.9,125,0.2,27067,45,480,0.8,9495,80,5.4,130708,1,1
Outerlands,/biz/outerlands-san-francisco?osq=Restaurants,94122,0.135854791666667,3.9,37.7603492,-122.5050397,"4001 Judah St, San Francisco, CA 94122, United States",ChIJf-NCNpeHhYARLeneHNw3WWs,23348,38.8,1140,1.9,125,0.2,27067,45,480,0.8,9495,80,5.4,130708,1,1
Sunset Cantina,/biz/sunset-cantina-san-francisco?osq=Restaurants,94122,0.120406545333333,4.3,37.76098,-122.4988,"3414 Judah St, San Francisco, CA 94122, United States",ChIJ_XouJ_OHhYARxgBE23hGC3Q,23348,38.8,1140,1.9,125,0.2,27067,45,480,0.8,9495,80,5.4,130708,1,1
Cielito Lindo,/biz/cielito-lindo-san-francisco?osq=Restaurants,94121,0.021188115,4.1,37.7759068,-122.4959241,"3440 Balboa St, San Francisco, CA 94121, United States",ChIJi7bWwGCHhYARssLGRw7p-9A,20005,45.5,763,1.7,68,0.2,18297,41.6,6,0,5747,78.4,5.4,116970,1,1
Rong's,/biz/rong-s-san-francisco?osq=Restaurants,94121,0.114322892333333,4.5,37.7759183,-122.4956456,"3420 Balboa St, San Francisco, CA 94121, United States",ChIJ4WmWevmHhYARPTVffEESejg,20005,45.5,763,1.7,68,0.2,18297,41.6,6,0,5747,78.4,5.4,116970,1,1
Anh Hong,/biz/anh-hong-san-francisco?osq=Restaurants,94121,0.054874512,4.5,37.7814671,-122.492871,"3123 Clement St, San Francisco, CA 94121, United States",ChIJGVU5pWeHhYARSBYd8YswwOs,20005,45.5,763,1.7,68,0.2,18297,41.6,6,0,5747,78.4,5.4,116970,1,1
Dumpling Kitchen,/biz/dumpling-kitchen-san-francisco-5?osq=Restaurants,94114,0.23969723,4.5,37.7423762,-122.4870455,"1935 Taraval St, San Francisco, CA 94116, United States",ChIJL9XQWoN9j4AR3OmpgFyKdmE,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Dumpling Kitchen,/biz/dumpling-kitchen-san-francisco?osq=Restaurants,94116,0.169595092333333,4,37.7423762,-122.4870455,"1935 Taraval St, San Francisco, CA 94116, United States",ChIJL9XQWoN9j4AR3OmpgFyKdmE,15281,33.6,537,1.2,16,0,24568,54,81,0.2,5756,76.6,5.5,134652,0,0
Ocean Indian Cuisine,/biz/ocean-indian-cuisine-san-francisco?osq=Restaurants,94121,0.107719576666667,4.3,37.7798278,-122.4852174,"6127 Geary Blvd, San Francisco, CA 94121, United States",ChIJazJ6XA-HhYARjMiqMLA2LxM,20005,45.5,763,1.7,68,0.2,18297,41.6,6,0,5747,78.4,5.4,116970,1,1
Fiorella -Clement,/biz/fiorella-clement-san-francisco-3?osq=Restaurants,94121,0.113437920666667,4.7,37.7819242,-122.4845393,"2339 Clement St, San Francisco, CA 94121, United States",ChIJ1XM-lgWHhYARFtVFjLm3ldM,20005,45.5,763,1.7,68,0.2,18297,41.6,6,0,5747,78.4,5.4,116970,1,0
