Restaurant,Latitude,Longitude,Address_x,Place-ID,URL,Stars,ZIP,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Il Nido,47.5785424,-122.4111014,"2717 61st Ave SW, Seattle, WA 98116, United States",ChIJP5RfPuJBkFQRxXB_39jXjig,/biz/il-nido-seattle?osq=Restaurants,4.3,98116,0.111423653333333,22281,81.9,891,3.3,66,0.2,1392,5.1,20,0.1,3780,77.5,3.1,124795,1,1
Secret Congee,47.6743338,-122.4066349,"6301 Seaview Ave NW, Seattle, WA 98107, United States",ChIJj83BoEYVkFQRTNN2zLQ3rFo,/biz/secret-congee-seattle?osq=Restaurants,4.3,98107,0.137414350333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Pink Salt Restaurant,47.6394341,-122.400599,"3321 W McGraw St, Seattle, WA 98199, United States",ChIJbf1Dj4AVkFQR8JANqqV1dZc,/biz/pink-salt-restaurant-seattle-2?osq=Restaurants,4.4,98199,0.133420668,17705,77.3,344,1.5,14,0.1,2760,12.1,96,0.4,3576,84,2.2,148878,1,1
Sunny Hill,47.6904269,-122.397965,"3127 NW 85th St, Seattle, WA 98117, United States",ChIJUUj0ydIXkFQRXFgrfw1yq6g,/biz/sunny-hill-seattle?osq=Restaurants,4.4,98117,0.017079609,29658,81.6,530,1.5,150,0.4,2411,6.6,30,0.1,4393,79.1,3.6,146887,1,0
Palisade,47.6303784,-122.3915819,"2601 W Marina Pl, Seattle, WA 98199, United States",ChIJg39eK9Y_kFQRdsvpmPqvLFw,/biz/palisade-seattle?osq=Restaurants,4,98199,0.203638573666667,17705,77.3,344,1.5,14,0.1,2760,12.1,96,0.4,3576,84,2.2,148878,1,1
Rupee Bar,47.6748298,-122.3878118,"6307 24th Ave NW, Seattle, WA 98107, United States",ChIJWT3Ta9AVkFQRuiC77lLA21k,/biz/rupee-bar-seattle?osq=Restaurants,4.3,98107,0.170745877,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Copine,47.6756873,-122.3872603,"6460 24th Ave NW, Seattle, WA 98107, United States",ChIJu-q9V9AVkFQRBXOOMahzKeo,/biz/copine-seattle?osq=Restaurants,4.5,98107,0.156184801333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Itto's Tapas,47.5647721,-122.3866213,"4160 California Ave SW, Seattle, WA 98116, United States",ChIJ9-hCmvdAkFQRFSDerXaqUPk,/biz/ittos-tapas-seattle-4?osq=Restaurants,4.5,98116,0.0170580286666667,22281,81.9,891,3.3,66,0.2,1392,5.1,20,0.1,3780,77.5,3.1,124795,1,1
Sailfish,47.6685165,-122.3859421,"2221 NW Market St, Seattle, WA 98107, United States",ChIJ8SobRUsVkFQRacLfanLhDDI,/biz/sailfish-seattle?osq=Restaurants,5,98107,0.156990116,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Crackle Mi Vietnamese Grill,47.6695574,-122.3849259,"5605 22nd Ave NW, Seattle, WA 98107, United States",ChIJX-cXvEwVkFQRj-ybSRleHWI,/biz/crackle-mi-vietnamese-grill-seattle?osq=Restaurants,4.5,98107,0.09467666,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Parish Northwest,47.6669301,-122.3841149,"5327 Ballard Ave NW, Seattle, WA 98107, United States",ChIJ4Rh3BL4VkFQRlWqnjUMW2io,/biz/parish-northwest-seattle?osq=Restaurants,3.9,98107,0.124157083,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
The Ballard Cut,47.6666088,-122.3836962,"5313 Ballard Ave NW Ste A, Seattle, WA 98107, United States",ChIJ68-ZzHsVkFQRsP7l4Y34PYI,/biz/the-ballard-cut-seattle?osq=Restaurants,4.6,98107,0.144413155333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Asadero Ballard,47.6669209,-122.3826803,"5405 Leary Ave NW, Seattle, WA 98107, United States",ChIJS6quTsYVkFQRCqzcs081o0M,/biz/asadero-ballard-seattle?osq=Restaurants,4.3,98107,0.171546514333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
WeRo,47.6661008,-122.3824891,"5210 Ballard Ave NW, Seattle, WA 98107, United States",ChIJZwpdsJoVkFQR0LXashnphmM,/biz/wero-seattle-2?osq=Restaurants,4,98107,0.0213438866666667,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Marination Ma Kai,47.5894362,-122.3805702,"1660 Harbor Ave SW, Seattle, WA 98126, United States",ChIJsRF59nJAkFQRKis-uc-e_1k,/biz/marination-ma-kai-seattle?osq=Restaurants,4.1,98126,0.143569597,14069,63.9,2873,13,148,0.7,2584,11.7,59,0.3,2921,70,4.8,97638,0,1
