,0,Count
0,"[[  61.2178459 -149.8964654]
 [  61.2182843 -149.8909192]
 [  61.2179842 -149.9043854]
 [  61.2184456 -149.9033811]
 [  61.216701  -149.8891345]
 [  61.2189375 -149.8931451]
 [  61.2186851 -149.8925458]
 [  61.219076  -149.8884748]
 [  61.2177101 -149.9018781]
 [  61.216342  -149.894083 ]
 [  61.2188142 -149.8810413]
 [  61.2176984 -149.8904992]
 [  61.217825  -149.8998115]
 [  61.2177182 -149.8962191]
 [  61.2187725 -149.8828076]
 [  61.2176987 -149.890215 ]
 [  61.2186852 -149.8959538]
 [  61.2188133 -149.8909986]
 [  61.2182604 -149.9034791]
 [  61.2176827 -149.884805 ]
 [  61.2181972 -149.8895873]
 [  61.2166985 -149.8986248]
 [  61.21792   -149.8958727]
 [  61.2163362 -149.8931782]
 [  61.2177071 -149.8911649]
 [  61.2177778 -149.9      ]
 [  61.2184649 -149.9043208]
 [  61.2196497 -149.8929094]
 [  61.216342  -149.894083 ]
 [  61.2177101 -149.9018781]
 [  61.2187455 -149.9019017]
 [  61.218678  -149.8838166]
 [  61.2177557 -149.8881686]
 [  61.21737   -149.8878299]
 [  61.2183852 -149.9018294]
 [  61.2148174 -149.8963888]
 [  61.21768   -149.8869764]
 [  61.2157243 -149.8939197]
 [  61.2184078 -149.8957439]
 [  61.21768   -149.8869764]
 [  61.2164725 -149.8920661]
 [  61.2193725 -149.8957161]
 [  61.2187273 -149.8892131]
 [  61.2196898 -149.89465  ]]",44
1,[[ 33.4372609 -86.7197095]],1
2,"[[  61.2153023 -149.9021527]
 [  61.2145063 -149.9041695]
 [  61.2145063 -149.9041695]]",3
3,[[  61.2183732 -149.8459737]],1
4,[[  61.2233782 -149.8857296]],1
5,"[[  61.1954967 -149.8728649]
 [  61.1925811 -149.8712487]
 [  61.192562  -149.873873 ]
 [  61.1928367 -149.8729194]
 [  61.192596  -149.8743823]
 [  61.1942601 -149.8722758]
 [  61.1930586 -149.8749186]
 [  61.1930568 -149.8743743]]",8
6,"[[  61.1925582 -149.914712 ]
 [  61.1929644 -149.915015 ]
 [  61.1925594 -149.9142211]
 [  61.1925953 -149.9150176]
 [  61.1928368 -149.9154297]
 [  61.1925588 -149.914436 ]
 [  61.1932192 -149.9136468]]",7
7,"[[  61.1456041 -149.8664402]
 [  61.1481401 -149.8631319]
 [  61.1441745 -149.8627901]
 [  61.1450376 -149.8595021]
 [  61.145083  -149.8649015]
 [  61.14568   -149.8692499]
 [  61.1469987 -149.8647998]
 [  61.145239  -149.858819 ]
 [  61.1449922 -149.8612137]
 [  61.1456118 -149.8671331]]",10
8,[[  61.2170999 -149.8715223]],1
9,[[  61.1609661 -149.8808287]],1
10,"[[  61.3364759 -149.5617365]
 [  61.3341264 -149.5635497]
 [  61.335569  -149.5642244]]",3
11,"[[  61.2194904 -149.8229577]
 [  61.2201638 -149.818739 ]
 [  61.220445  -149.8183209]
 [  61.2201592 -149.8203804]]",4
12,"[[  61.2154329 -149.734088 ]
 [  61.2139402 -149.7341088]]",2
