,0,Count
0,"[[ 41.8847209 -87.6228606]
 [ 41.8851301 -87.6237612]
 [ 41.8849641 -87.6247284]]",3
1,"[[ 41.8850059 -87.6287918]
 [ 41.8843373 -87.6292766]
 [ 41.8829813 -87.6285842]
 [ 41.8829463 -87.6286206]]",4
2,"[[ 41.8789847 -87.6324459]
 [ 41.8799308 -87.6305172]]",2
3,"[[ 41.8826897 -87.6246716]
 [ 41.8813255 -87.6246582]
 [ 41.881662  -87.6249684]
 [ 41.8830278 -87.624905 ]
 [ 41.8788749 -87.6264788]
 [ 41.8803304 -87.6256792]]",6
4,[[ 41.867632  -87.6319585]],1
5,"[[ 41.88417   -87.63712  ]
 [ 41.8849972 -87.6384474]
 [ 41.8849972 -87.6384474]]",3
6,[[ 41.8771641 -87.6350232]],1
7,"[[ 41.8853379 -87.6341608]
 [ 41.8864436 -87.6342963]]",2
8,[[ 41.877216  -87.6400373]],1
9,"[[ 41.8841811 -87.6479449]
 [ 41.8846822 -87.6490019]
 [ 41.8846241 -87.6475954]
 [ 41.8857081 -87.6517592]
 [ 41.887005  -87.6488501]
 [ 41.88666   -87.6501   ]
 [ 41.8858604 -87.6490707]
 [ 41.8866072 -87.6478944]
 [ 41.8869519 -87.6511541]
 [ 41.8838272 -87.6492538]
 [ 41.8847114 -87.6510811]
 [ 41.885825  -87.6489435]
 [ 41.8846834 -87.6484399]
 [ 41.8846985 -87.649211 ]]",14
10,"[[ 41.903512  -87.6717396]
 [ 41.9033912 -87.6762437]
 [ 41.9030564 -87.6767384]
 [ 41.9033742 -87.6794939]
 [ 41.9029988 -87.6793423]
 [ 41.9033751 -87.676954 ]
 [ 41.9033821 -87.6778355]
 [ 41.9033759 -87.6804098]
 [ 41.9034241 -87.6718642]
 [ 41.9033538 -87.6763936]
 [ 41.9033805 -87.6739614]
 [ 41.9029715 -87.6807371]
 [ 41.9033221 -87.6798856]
 [ 41.9033783 -87.6767699]
 [ 41.9033911 -87.67512  ]
 [ 41.9030013 -87.6708347]
 [ 41.9034294 -87.6786393]
 [ 41.9032811 -87.6813021]
 [ 41.903318  -87.681584 ]
 [ 41.903304  -87.6792116]
 [ 41.9033944 -87.6734318]]",21
11,"[[ 41.8804776 -87.6670036]
 [ 41.8796028 -87.6680417]]",2
12,[[ 41.9423438 -87.6635606]],1
13,"[[ 41.8545724  -87.6304378 ]
 [ 41.8551711  -87.6319894 ]
 [ 41.8535452  -87.6329132 ]
 [ 41.85405012 -87.63327776]
 [ 41.8537638  -87.634506  ]
 [ 41.8536843  -87.6349441 ]]",6
14,[[ 41.8818303 -87.6530626]],1
15,[[ 41.8845081 -87.6627103]],1
16,"[[ 41.8781743 -87.6478044]
 [ 41.8797412 -87.6475537]
 [ 41.8790063 -87.6475439]]",3
17,"[[ 41.9152698 -87.6343802]
 [ 41.9152698 -87.6343802]]",2
18,[[ 41.8534956 -87.6462925]],1
19,[[ 41.8540367 -87.6854898]],1
20,"[[ 41.8571111 -87.6664547]
 [ 41.8578865 -87.6680407]]",2
21,[[ 41.8579953 -87.6595477]],1
22,[[ 41.8530255 -87.6757368]],1
23,"[[ 41.9099152 -87.6344763]
 [ 41.9108541 -87.6359523]]",2
24,"[[ 41.9020389 -87.6287472]
 [ 41.9022009 -87.6285667]]",2
25,"[[ 41.8973543 -87.6385033]
 [ 41.8967757 -87.6384187]]",2
26,[[ 41.9106037 -87.6436203]],1
27,"[[ 41.9324289 -87.649256 ]
 [ 41.9316548 -87.6488609]]",2
28,[[ 41.905978  -87.6304406]],1
29,"[[ 41.890739  -87.6245691]
 [ 41.8920991 -87.6259524]
 [ 41.8935196 -87.627921 ]
 [ 41.891576  -87.6263033]
 [ 41.891576  -87.6263033]
 [ 41.8934665 -87.6266024]
 [ 41.8936249 -87.6279255]
 [ 41.8918834 -87.6270332]]",8
30,[[ 41.8909044 -87.6160861]],1
31,"[[ 41.8934749 -87.6229078]
 [ 41.8946864 -87.6225031]
 [ 41.8920666 -87.6229186]]",3
32,[[ 41.8166793 -87.601476 ]],1
33,[[ 41.8968561 -87.6273611]],1
34,"[[ 41.8914703 -87.6096683]
 [ 41.8914703 -87.6096683]]",2
35,"[[ 41.8835639 -87.7052495]
 [ 41.8840448 -87.7056915]]",2
36,"[[ 41.8958547 -87.6904327]
 [ 41.8959317 -87.6895912]]",2
37,[[ 41.877347  -87.6686464]],1
38,[[ 41.9601555 -87.6473919]],1
39,[[ 41.9486713 -87.6581882]],1
40,[[ 41.9521913 -87.6777554]],1
41,[[ 41.954514  -87.6644832]],1
42,[[ 41.8665953 -87.6473115]],1
43,"[[ 41.9183532 -87.6536   ]
 [ 41.9179972 -87.6541834]]",2
44,"[[ 41.9135551 -87.6480103]
 [ 41.913435  -87.6480552]]",2
45,[[ 41.9262961 -87.6494903]],1
46,[[ 41.9207609 -87.6373869]],1
47,[[ 41.9199959 -87.6625407]],1
48,"[[ 41.9175747 -87.6486478]
 [ 41.9179598 -87.6500031]]",2
49,[[ 41.9251625 -87.6591596]],1
50,[[ 41.9275134 -87.6519349]],1
51,[[ 41.921934  -87.6643512]],1
52,[[ 41.9211387 -87.6489538]],1
53,[[ 41.9294615 -87.6429558]],1
54,[[ 41.8539185 -87.6415922]],1
55,"[[ 41.8497335 -87.6320863]
 [ 41.8494563 -87.6317029]]",2
56,[[ 41.85205 -87.62334]],1
57,[[ 41.8851696 -87.6191526]],1
58,"[[ 41.9171625 -87.707679 ]
 [ 41.9172811 -87.7072036]
 [ 41.9177332 -87.7073447]]",3
59,"[[ 41.934971  -87.7164668]
 [ 41.9345637 -87.7166469]]",2
60,[[ 41.8534342 -87.744503 ]],1
61,[[ 41.9429563 -87.7201368]],1
62,[[ 41.9616806 -87.6802639]],1
63,"[[ 41.9433272 -87.6794334]
 [ 41.9434142 -87.6782928]]",2
64,[[ 41.9392634 -87.7022326]],1
65,"[[ 41.9455448 -87.7095432]
 [ 41.9461042 -87.7094673]]",2
66,[[ 41.9426735 -87.7027446]],1
67,"[[ 41.9106889 -87.6742363]
 [ 41.9107142 -87.6753953]
 [ 41.9094982 -87.6772701]
 [ 41.9085884 -87.67443  ]
 [ 41.9066085 -87.6713409]
 [ 41.9048778 -87.6686508]
 [ 41.9070765 -87.6721011]
 [ 41.9104634 -87.6718587]
 [ 41.906231  -87.671394 ]
 [ 41.9077159 -87.6728915]
 [ 41.9094907 -87.677595 ]
 [ 41.9102769 -87.6756623]
 [ 41.9093142 -87.6760519]
 [ 41.9099039 -87.6764488]
 [ 41.910708  -87.6746816]
 [ 41.9097199 -87.6766851]
 [ 41.9052383 -87.6696457]
 [ 41.9028109 -87.6672638]
 [ 41.9106162 -87.6759778]
 [ 41.9087604 -87.6751855]
 [ 41.9076442 -87.6722353]
 [ 41.9103746 -87.6739316]
 [ 41.9085194 -87.6748528]
 [ 41.9038977 -87.6667435]
 [ 41.9032029 -87.6669983]
 [ 41.9085884 -87.67443  ]
 [ 41.9110653 -87.6780791]
 [ 41.9106629 -87.6781234]
 [ 41.9103395 -87.6800513]]",29
68,"[[ 41.896238   -87.671559  ]
 [ 41.8962465  -87.6729274 ]
 [ 41.8959093  -87.6702531 ]
 [ 41.8958101  -87.6704    ]
 [ 41.8986325  -87.66704509]
 [ 41.8963091  -87.6689335 ]
 [ 41.8991172  -87.6671814 ]
 [ 41.8961966  -87.6676892 ]
 [ 41.8963116  -87.6675548 ]
 [ 41.8976039  -87.6671471 ]
 [ 41.8959178  -87.6689456 ]
 [ 41.8959645  -87.6632941 ]
 [ 41.8962398  -87.6648334 ]
 [ 41.8958958  -87.666725  ]
 [ 41.8959693  -87.6621856 ]
 [ 41.8958931  -87.6660152 ]]",16
69,[[ 41.899667  -87.6756612]],1
70,"[[ 41.8998562 -87.6872841]
 [ 41.9004955 -87.6866572]]",2
71,"[[ 41.9159869 -87.6698251]
 [ 41.9159776 -87.6695863]]",2
72,"[[ 41.8994331 -87.6964952]
 [ 41.90056   -87.696609 ]
 [ 41.8985505 -87.6971356]
 [ 41.8993891 -87.6969846]]",4
73,"[[ 41.8956489 -87.6803801]
 [ 41.8956997 -87.6821358]]",2
74,[[ 41.9071532 -87.6673657]],1
75,"[[ 41.9103888 -87.6672841]
 [ 41.9101941 -87.6673889]]",2
76,"[[ 41.8960754  -87.6778955 ]
 [ 41.8961175  -87.675648  ]
 [ 41.89590935 -87.675822  ]]",3
