,0,Count
0,"[[ 27.8006263 -97.3922622]
 [ 27.8006263 -97.3922622]
 [ 27.798467  -97.3917341]
 [ 27.7991554 -97.3921156]]",4
1,"[[ 27.796914  -97.3889447]
 [ 27.7978026 -97.3890314]]",2
2,"[[ 27.797011  -97.396738 ]
 [ 27.7943618 -97.393527 ]
 [ 27.7962352 -97.3947161]
 [ 27.7943716 -97.3942545]
 [ 27.795852  -97.3935941]
 [ 27.7965183 -97.3923568]
 [ 27.7942425 -97.395513 ]
 [ 27.7976881 -97.3954484]
 [ 27.7964236 -97.3979694]
 [ 27.796644  -97.3928958]
 [ 27.7943618 -97.393527 ]
 [ 27.7975748 -97.3951339]
 [ 27.795193  -97.3954698]
 [ 27.7965764 -97.3984336]
 [ 27.7938202 -97.3936313]
 [ 27.7944581 -97.3936739]
 [ 27.7954534 -97.3931253]
 [ 27.7969138 -97.3940456]
 [ 27.7956304 -97.3969691]
 [ 27.7938202 -97.3936313]
 [ 27.7924445 -97.3929834]
 [ 27.7965764 -97.3984336]]",22
3,"[[ 27.7886304 -97.3953877]
 [ 27.7899977 -97.3950756]
 [ 27.7899977 -97.3950756]]",3
4,[[ 27.8106458 -97.3929757]],1
5,[[ 27.801715 -97.397818]],1
6,[[ 27.802993  -97.3941449]],1
7,"[[ 27.7949362 -97.4003847]
 [ 27.7949362 -97.4003847]]",2
8,"[[ 27.8074769 -97.3984013]
 [ 27.8074769 -97.3984013]]",2
9,"[[ 27.794731 -97.38801 ]
 [ 27.794731 -97.38801 ]]",2
10,[[ 27.7257415 -97.4143422]],1
11,[[ 27.7917832 -97.4028491]],1
12,"[[ 27.8190609 -97.3904168]
 [ 27.8203187 -97.3895038]]",2
13,"[[ 27.8155227 -97.3889055]
 [ 27.815713  -97.390795 ]]",2
14,[[ 27.8335687 -97.0606299]],1
15,[[ 27.81389173 -97.39207364]],1
16,"[[ 27.7381002 -97.3876237]
 [ 27.7388244 -97.3877672]
 [ 27.7378562 -97.3880923]]",3
17,"[[ 27.7730691 -97.4004023]
 [ 27.7719308 -97.4004867]
 [ 27.7727123 -97.4005067]]",3
18,[[ 27.7633983 -97.3839387]],1
19,[[ 27.7646576 -97.402654 ]],1
20,"[[ 27.7547837 -97.3883223]
 [ 27.755264  -97.38994  ]
 [ 27.7547837 -97.3883223]]",3
21,[[ 27.7672904 -97.3910506]],1
22,"[[ 27.7612761 -97.4028585]
 [ 27.7612761 -97.4028585]]",2
23,[[ 27.7787641 -97.4073786]],1
24,[[ 27.7700894 -97.4065721]],1
25,[[ 27.777171 -97.428388]],1
26,[[ 27.7762083 -97.4322869]],1
27,[[ 27.787083 -97.413655]],1
28,[[ 27.7813017 -97.4359377]],1
29,"[[ 27.7788968 -97.4306038]
 [ 27.7788968 -97.4306038]]",2
30,[[ 27.7777915 -97.4134962]],1
31,"[[ 27.7969601 -97.4208529]
 [ 27.7964358 -97.4218439]]",2
32,[[ 27.7971049 -97.4649842]],1
33,[[ 27.7966141 -97.4186543]],1
34,"[[ 27.710864  -97.373617 ]
 [ 27.7089432 -97.3696724]
 [ 27.7102716 -97.3723898]
 [ 27.7059607 -97.3716837]
 [ 27.7047313 -97.3710606]
 [ 27.7102309 -97.371895 ]
 [ 27.710864  -97.373617 ]
 [ 27.7104449 -97.3728011]
 [ 27.7112217 -97.3727589]
 [ 27.70878   -97.370771 ]
 [ 27.7074379 -97.3712048]
 [ 27.7086039 -97.3691342]
 [ 27.7078189 -97.3681888]]",13
35,[[ 27.8026596 -97.4491095]],1
36,"[[ 27.797662  -97.4483758]
 [ 27.797662  -97.4483758]]",2
37,"[[ 27.7446637  -97.3797134 ]
 [ 27.7437058  -97.3797751 ]
 [ 27.7432274  -97.3812345 ]
 [ 27.7434748  -97.3823616 ]
 [ 27.7440732  -97.3801133 ]
 [ 27.74460567 -97.38041263]
 [ 27.7437058  -97.3797751 ]]",7
38,"[[ 27.7283966 -97.3799154]
 [ 27.7261554 -97.3807718]
 [ 27.7263015 -97.3804233]
 [ 27.7272181 -97.380124 ]
 [ 27.7253852 -97.379001 ]]",5
39,"[[ 27.6833839 -97.3844471]
 [ 27.6841672 -97.3832255]
 [ 27.6840229 -97.3831016]
 [ 27.6846449 -97.3828612]]",4
40,"[[ 27.7195573 -97.3957109]
 [ 27.7189371 -97.3947439]
 [ 27.7186579 -97.3943205]]",3
41,[[ 27.730447  -97.3915935]],1
42,"[[ 27.6867333 -97.3826196]
 [ 27.6869391 -97.3825282]
 [ 27.6867333 -97.3826196]
 [ 27.6871338 -97.3823864]
 [ 27.6876226 -97.3811097]
 [ 27.6876645 -97.3811909]]",6
43,"[[ 27.7222224 -97.3977841]
 [ 27.7218047 -97.3974094]]",2
44,[[ 27.715531  -97.3873992]],1
45,[[ 27.7123314 -97.3872261]],1
46,"[[ 27.7107822 -97.3780146]
 [ 27.710051  -97.376769 ]
 [ 27.7117906 -97.3765843]
 [ 27.7110706 -97.3786551]
 [ 27.711751  -97.376106 ]
 [ 27.7118452 -97.3802042]]",6
47,"[[ 27.7157716 -97.3897655]
 [ 27.7164226 -97.3893751]]",2
48,"[[ 27.7019481 -97.3743591]
 [ 27.7027156 -97.3735997]
 [ 27.7013723 -97.3744412]]",3
49,"[[ 27.7083453 -97.373149 ]
 [ 27.7082609 -97.3741584]]",2
50,[[ 27.7824923 -97.4201432]],1
51,"[[ 27.7110801 -97.369112 ]
 [ 27.7107888 -97.3681643]
 [ 27.7111391 -97.3690989]]",3
52,"[[ 27.7101102 -97.3880699]
 [ 27.7102998 -97.3866715]]",2
53,[[ 27.7473636 -97.3830297]],1
54,"[[ 27.747295  -97.3936758]
 [ 27.747295  -97.3936758]]",2
55,[[ 28.3134824 -97.2733258]],1
56,[[ 27.8029554 -97.4523025]],1
57,[[ 27.7223424 -97.3769078]],1
58,[[ 27.722611  -97.3798222]],1
59,[[ 16.8531086 -99.8236533]],1
60,"[[ 27.7101018 -97.3620452]
 [ 27.7096642 -97.3649243]
 [ 27.7089994 -97.3615803]
 [ 27.7096944 -97.3629222]
 [ 27.7094053 -97.3633835]
 [ 27.7086218 -97.3615943]
 [ 27.7089119 -97.361584 ]]",7
61,"[[ 27.7170487 -97.3628559]
 [ 27.7173638 -97.3625009]]",2
62,[[ 27.7042278 -97.3612371]],1
63,"[[ 27.7294485 -97.3722806]
 [ 27.7297981 -97.3722418]
 [ 27.7319446 -97.3719991]
 [ 27.7319078 -97.3719726]
 [ 27.731192  -97.3718166]
 [ 27.7321465 -97.3721795]]",6
