,0,Count
0,"[[  34.0758859 -118.3234756]
 [  34.076056  -118.324166 ]
 [  34.0738233 -118.3238124]
 [  34.0753835 -118.3238365]
 [  34.0734622 -118.3239569]]",5
1,"[[  34.0750294 -118.3096289]
 [  34.0747605 -118.3095963]]",2
2,[[  34.0703206 -118.2921764]],1
3,"[[  34.0692979 -118.3072249]
 [  34.0703027 -118.3076132]
 [  34.0703027 -118.3076132]
 [  34.0693375 -118.3072299]]",4
4,[[  34.045779 -118.232518]],1
5,[[  34.1395747 -118.2084532]],1
6,[[  34.0765597 -118.3109803]],1
7,[[  34.0352178 -118.2406089]],1
8,[[  34.0779628 -118.309356 ]],1
9,"[[  34.0822659 -118.309317 ]
 [  34.0837    -118.3097055]
 [  34.0836965 -118.3094905]]",3
10,[[  34.0812002  -118.28467372]],1
11,"[[  34.0615339  -118.3037334 ]
 [  34.0630624  -118.3097898 ]
 [  34.0629721  -118.3095601 ]
 [  34.063071   -118.306414  ]
 [  34.06138    -118.3043901 ]
 [  34.0621008  -118.3135865 ]
 [  34.0614458  -118.3043805 ]
 [  34.0619887  -118.3108337 ]
 [  34.06144    -118.311834  ]
 [  34.06160785 -118.3130101 ]
 [  34.0641793  -118.3094913 ]
 [  34.0663443  -118.3096243 ]
 [  34.0654526  -118.3096161 ]
 [  34.066667   -118.3088658 ]
 [  34.063633   -118.3080805 ]
 [  34.0657222  -118.3083861 ]
 [  34.0684394  -118.3094622 ]
 [  34.0638148  -118.3061243 ]
 [  34.067006   -118.3087536 ]
 [  34.0655066  -118.3087826 ]
 [  34.0615428  -118.3058425 ]]",21
12,"[[  34.0574994 -118.3075592]
 [  34.0575535 -118.3069086]
 [  34.0575604 -118.306386 ]]",3
13,"[[  34.0601879 -118.2910931]
 [  34.0601167 -118.2910128]
 [  34.0601879 -118.2910931]
 [  34.0601879 -118.2910931]]",4
14,"[[  34.0633316 -118.303944 ]
 [  34.0633643 -118.3037659]]",2
15,"[[  34.0629998 -118.2975584]
 [  34.0622771 -118.2975168]
 [  34.0621274 -118.2974929]
 [  34.0620896 -118.3011787]
 [  34.0615081 -118.298932 ]
 [  34.0613285 -118.2999717]
 [  34.0628876 -118.2975914]
 [  34.0631287 -118.2974712]
 [  34.0629998 -118.2975584]
 [  34.0639719 -118.296799 ]
 [  34.0632259 -118.2975323]
 [  34.0637541 -118.2972762]
 [  34.064021  -118.2943534]
 [  34.0637788 -118.2965006]
 [  34.0637265 -118.2971577]
 [  34.0637026 -118.2983959]
 [  34.0638226 -118.2958782]
 [  34.0634123 -118.2981865]
 [  34.0613285 -118.2999717]]",19
16,[[  34.0575972 -118.2938845]],1
17,[[  34.0575731 -118.2977942]],1
18,[[  34.0551213 -118.2918638]],1
19,[[  34.0510696 -118.278075 ]],1
20,[[  34.0473704 -118.2996502]],1
21,[[  34.0557349 -118.309514 ]],1
22,[[  34.052428  -118.2920499]],1
23,[[  33.8835096 -117.997482 ]],1
24,[[49.564133  3.61989 ]],1
25,[[  34.0622434 -118.3208622]],1
26,"[[  34.0499431 -118.2400475]
 [  34.0499759 -118.2400949]
 [  34.0465641 -118.2384367]
 [  34.0482761 -118.2390932]
 [  34.048289  -118.2395445]]",5
27,[[  34.0690046 -118.2261067]],1
28,[[  34.0600891 -118.2382038]],1
29,[[  34.0544512 -118.2512579]],1
30,[[  34.0615425 -118.2397141]],1
31,[[  34.0464267 -118.2353209]],1
32,[[  34.0660293 -118.2376414]],1
33,"[[  34.0402258 -118.2331693]
 [  34.0414747 -118.2330002]]",2
34,[[  34.0489961 -118.2514107]],1
35,[[  34.0500896 -118.2486432]],1
36,"[[  34.0427698 -118.2508429]
 [  34.0416112 -118.2521847]]",2
