,0,Count
0,[[ 29.994265 -90.155055]],1
1,[[51.5127917 -0.1265123]],1
2,[[ 29.9131581 -90.0591263]],1
3,[[ 29.907002 -90.05481 ]],1
4,[[ 29.8908415 -90.0179001]],1
5,[[ 29.9112143 -90.2293607]],1
6,[[ 29.9551684 -90.0767341]],1
7,"[[ 29.9533214  -90.0744417 ]
 [ 29.9555463  -90.0688386 ]
 [ 29.955051   -90.0698098 ]
 [ 29.9535982  -90.074919  ]
 [ 29.9566009  -90.0681156 ]
 [ 29.9536102  -90.0750021 ]
 [ 29.9556652  -90.0698506 ]
 [ 29.9538618  -90.0712923 ]
 [ 29.9498663  -90.0740562 ]
 [ 29.9509284  -90.0671226 ]
 [ 29.9509284  -90.0671226 ]
 [ 29.9509284  -90.0671226 ]
 [ 29.9553468  -90.0698063 ]
 [ 29.95328    -90.0707682 ]
 [ 29.9574597  -90.0707713 ]
 [ 29.9538764  -90.0716274 ]
 [ 29.9547086  -90.0719378 ]
 [ 29.9583164  -90.0669866 ]
 [ 29.9510587  -90.0715911 ]
 [ 29.9575306  -90.0693953 ]
 [ 29.9551555  -90.0729871 ]
 [ 29.9525674  -90.0729757 ]
 [ 29.9514448  -90.0728069 ]
 [ 29.9500396  -90.073689  ]
 [ 29.9514043  -90.0703336 ]
 [ 29.945067   -90.0744964 ]
 [ 29.9490234  -90.0748027 ]
 [ 29.9483183  -90.0750983 ]
 [ 29.948945   -90.0731349 ]
 [ 29.9483619  -90.0753458 ]
 [ 29.9483883  -90.0754647 ]
 [ 29.9484438  -90.0731985 ]
 [ 29.9452615  -90.0733542 ]
 [ 29.9609841  -90.0588832 ]
 [ 29.9609841  -90.0588832 ]
 [ 29.960406   -90.063885  ]
 [ 29.9592793  -90.060762  ]
 [ 29.9544805  -90.0665752 ]
 [ 29.9503038  -90.0713499 ]
 [ 29.9611438  -90.0675479 ]
 [ 29.9541372  -90.0660975 ]
 [ 29.9576883  -90.0620614 ]
 [ 29.9606926  -90.0595145 ]
 [ 29.9590251  -90.0640341 ]
 [ 29.951152   -90.070007  ]
 [ 29.959473   -90.060654  ]
 [ 29.9569642  -90.0640581 ]
 [ 29.9576883  -90.064524  ]
 [ 29.9584299  -90.0617673 ]
 [ 29.9608767  -90.0584852 ]
 [ 29.9575154  -90.0642051 ]
 [ 29.9602118  -90.0598141 ]
 [ 29.9564652  -90.0676722 ]
 [ 29.9602606  -90.0597697 ]
 [ 29.9601557  -90.0598518 ]
 [ 29.9584308  -90.063219  ]
 [ 29.9599163  -90.0629618 ]
 [ 29.9582536  -90.0652496 ]
 [ 29.9598639  -90.0673417 ]
 [ 29.95863894 -90.06953396]
 [ 29.9545806  -90.0688602 ]
 [ 29.9544184  -90.0688424 ]
 [ 29.9465701  -90.0681427 ]
 [ 29.9435429  -90.0653454 ]
 [ 29.9561435  -90.0639819 ]
 [ 29.9456573  -90.0713774 ]
 [ 29.9467125  -90.0686857 ]
 [ 29.9450723  -90.0672543 ]
 [ 29.945389   -90.0697336 ]
 [ 29.9422816  -90.0672842 ]
 [ 29.9479021  -90.0723003 ]
 [ 29.9525674  -90.0729757 ]
 [ 29.9456062  -90.0698623 ]
 [ 29.9562294  -90.0675629 ]
 [ 29.953055   -90.0708163 ]
 [ 29.954908   -90.069122  ]
 [ 29.9530594  -90.0678487 ]
 [ 29.9543621  -90.0696717 ]
 [ 29.9542059  -90.0687279 ]
 [ 29.9444401  -90.0647975 ]
 [ 29.9575361  -90.065281  ]
 [ 29.9537571  -90.0660094 ]
 [ 29.9452615  -90.0733542 ]
 [ 29.9505886  -90.0704239 ]
 [ 29.9519868  -90.0648275 ]
 [ 29.9553696  -90.0681844 ]
 [ 29.9421999  -90.067129  ]
 [ 29.9571181  -90.0641919 ]
 [ 29.9540143  -90.0670039 ]
 [ 29.9419424  -90.0659383 ]
 [ 29.949951   -90.0667217 ]
 [ 29.949898   -90.067702  ]
 [ 29.9502581  -90.0679984 ]
 [ 29.953643   -90.0652429 ]
 [ 29.9489846  -90.0670016 ]
 [ 29.9546025  -90.0691462 ]
 [ 29.9541862  -90.0652628 ]
 [ 29.9561262  -90.0666222 ]
 [ 29.9459625  -90.0659847 ]
 [ 29.9471636  -90.0656169 ]
 [ 29.9488556  -90.0720235 ]
 [ 29.9532747  -90.0705934 ]
 [ 29.9527053  -90.0666072 ]
 [ 29.9463087  -90.0672299 ]
 [ 29.945841   -90.071842  ]
 [ 29.9550439  -90.0660894 ]
 [ 29.9443856  -90.0654858 ]
 [ 29.9534096  -90.0675344 ]
 [ 29.9549416  -90.0675967 ]
 [ 29.9522222  -90.0671301 ]
 [ 29.951152   -90.070007  ]
 [ 29.9565695  -90.0675793 ]
 [ 29.955734   -90.065238  ]
 [ 29.9558754  -90.065056  ]
 [ 29.9504266  -90.0696997 ]
 [ 29.9575727  -90.0658268 ]
 [ 29.9564329  -90.0663399 ]
 [ 29.9543868  -90.0683629 ]
 [ 29.9471313  -90.0716132 ]
 [ 29.9422929  -90.0661082 ]
 [ 29.9552821  -90.0670104 ]
 [ 29.9508855  -90.0687883 ]
 [ 29.9510212  -90.0685271 ]
 [ 29.9476271  -90.0684253 ]
 [ 29.9472696  -90.0649435 ]
 [ 29.9473185  -90.0714264 ]
 [ 29.9452095  -90.0691411 ]
 [ 29.9446223  -90.0673378 ]
 [ 29.9528827  -90.0681941 ]
 [ 29.9565345  -90.0642942 ]
 [ 29.9533833  -90.065764  ]
 [ 29.9467484  -90.0675198 ]
 [ 29.9451792  -90.06961   ]
 [ 29.9441425  -90.0656837 ]
 [ 29.9464626  -90.06781   ]
 [ 29.9528827  -90.0681941 ]
 [ 29.9422105  -90.0678204 ]
 [ 29.9472001  -90.0691998 ]
 [ 29.9467735  -90.0683568 ]
 [ 29.9481001  -90.06749497]]",140
8,"[[ 29.956527  -90.0783085]
 [ 29.9565391 -90.0784505]]",2
9,"[[ 29.9588721 -90.0846094]
 [ 29.9578321 -90.0830109]]",2
10,[[ 29.9558237 -90.0813517]],1
11,[[ 30.0068355 -90.1958065]],1
12,[[ 29.9510528 -90.0771844]],1
13,[[ 30.0406619 -89.9550195]],1
14,[[ 29.9355909 -90.0691731]],1
15,[[ 29.9438909 -90.0862855]],1
16,[[ 29.9520623 -90.054754 ]],1
17,[[ 29.9520204 -90.0489086]],1
