,0,Count
0,"[[ 40.7477749 -73.9867579]
 [ 40.7499701 -73.9857172]
 [ 40.7488071 -73.9869958]
 [ 40.747715  -73.986056 ]
 [ 40.7462496 -73.9847616]
 [ 40.7457255 -73.9847775]
 [ 40.7454078 -73.9849276]
 [ 40.7502712 -73.9845225]]",8
1,[[ 40.7529181 -74.0018896]],1
2,"[[ 40.7456687 -73.9880941]
 [ 40.7454944 -73.9889085]]",2
3,[[ 40.4611667 -74.3612929]],1
4,[[ 40.7471546 -74.0005218]],1
5,[[ 40.74733541 -73.9921822 ]],1
6,"[[ 40.7194565  -73.9898282 ]
 [ 40.7216655  -73.9887771 ]
 [ 40.7182852  -73.9926038 ]
 [ 40.7173189  -73.9944649 ]
 [ 40.7193338  -73.9897685 ]
 [ 40.7174109  -73.9920876 ]
 [ 40.7219877  -73.9924573 ]
 [ 40.7225653  -73.9924768 ]
 [ 40.7203979  -73.9888844 ]
 [ 40.7184825  -73.9899543 ]
 [ 40.719602   -73.9935919 ]
 [ 40.7197434  -73.9895105 ]
 [ 40.7190677  -73.99073   ]
 [ 40.718818   -73.9900876 ]
 [ 40.7176193  -73.9949923 ]
 [ 40.71719724 -73.99331862]
 [ 40.722174   -73.9974607 ]
 [ 40.7227383  -73.9961347 ]
 [ 40.722668   -73.9982298 ]
 [ 40.7205834  -73.9952002 ]
 [ 40.7217743  -73.9964439 ]
 [ 40.7235427  -73.9957854 ]
 [ 40.7220405  -73.9975553 ]
 [ 40.7207143  -73.99565   ]
 [ 40.7229278  -73.9941778 ]
 [ 40.7156656  -73.9966988 ]
 [ 40.7142425  -73.9978903 ]
 [ 40.7190568  -73.9969181 ]
 [ 40.71623    -73.9992504 ]
 [ 40.7195839  -73.9973403 ]
 [ 40.7185466  -73.9974466 ]
 [ 40.7141401  -73.998918  ]
 [ 40.7171726  -73.9972861 ]
 [ 40.7144645  -73.9988929 ]
 [ 40.7210932  -73.9978255 ]
 [ 40.718902   -73.999442  ]
 [ 40.7156513  -73.9981356 ]
 [ 40.7166726  -73.9996701 ]
 [ 40.7166314  -73.9965889 ]
 [ 40.7209237  -73.9899319 ]
 [ 40.71557414 -73.9980666 ]
 [ 40.722174   -73.9974607 ]
 [ 40.7231237  -73.9947502 ]
 [ 40.7182852  -73.9926038 ]
 [ 40.722174   -73.9974607 ]]",45
7,"[[ 40.7149516 -73.9916415]
 [ 40.7138484 -73.9909298]
 [ 40.7128855 -73.9951074]
 [ 40.7142217 -73.993757 ]
 [ 40.7142375 -73.9920557]
 [ 40.7140399 -73.994115 ]]",6
8,"[[ 40.7183537 -73.9573377]
 [ 40.717991  -73.9566896]]",2
9,"[[ 40.721264  -73.9838497]
 [ 40.7215311 -73.9846497]
 [ 40.7239336 -73.9838384]
 [ 40.7253329 -73.9833142]
 [ 40.7229553 -73.9852071]
 [ 40.721264  -73.9838497]]",6
10,"[[ 40.7187699 -73.9870693]
 [ 40.7192889 -73.9848028]]",2
11,[[ 40.7461394 -73.9417211]],1
12,[[ 40.7305211 -73.9524959]],1
13,"[[ 40.7303859 -73.9860613]
 [ 40.7255882 -73.9883207]
 [ 40.7265082 -73.9866619]
 [ 40.7263243 -73.9864615]
 [ 40.7270357 -73.986148 ]
 [ 40.7254016 -73.9881049]
 [ 40.7278725 -73.9854694]
 [ 40.7302516 -73.9838171]
 [ 40.7287968 -73.9887127]
 [ 40.7297414 -73.9872113]
 [ 40.7274166 -73.9882713]
 [ 40.7292643 -73.9860978]
 [ 40.7290321 -73.9882174]
 [ 40.7291176 -73.9885834]
 [ 40.7268129 -73.9875712]
 [ 40.7293472 -73.9866141]
 [ 40.7249241 -73.9906202]
 [ 40.7238424 -73.9892241]
 [ 40.7279967 -73.9884379]
 [ 40.7296064 -73.9879383]
 [ 40.7294074 -73.9889097]
 [ 40.7276245 -73.9837625]
 [ 40.730672  -73.9827918]
 [ 40.728828  -73.984082 ]
 [ 40.7273735 -73.9852541]
 [ 40.7274345 -73.9852101]
 [ 40.7284071 -73.9821589]
 [ 40.7271533 -73.9839474]
 [ 40.7265082 -73.9866619]
 [ 40.725709  -73.992682 ]
 [ 40.7255039 -73.9927018]]",31
14,[[ 40.7323017 -73.9873417]],1
