,0,Count
0,"[[  37.7829603 -122.4685948]
 [  37.782839  -122.4617051]
 [  37.7810531 -122.4598865]
 [  37.7825689 -122.4664414]
 [  37.782814  -122.4625643]
 [  37.7827246 -122.464106 ]
 [  37.7826936 -122.4647805]
 [  37.7813576 -122.4609231]
 [  37.7809632 -122.459617 ]
 [  37.7828969 -122.4632302]
 [  37.7832722 -122.4600321]
 [  37.7831729 -122.4652452]
 [  37.782986  -122.468337 ]
 [  37.7829939 -122.4672055]
 [  37.7828663 -122.4637383]
 [  37.782986  -122.468337 ]]",16
1,[[  37.7812224 -122.4555652]],1
2,[[  37.7809582 -122.4713138]],1
3,[[  37.7826278 -122.4743735]],1
4,[[  37.7806507 -122.468725 ]],1
5,"[[  37.7773835 -122.4648357]
 [  37.7773663 -122.4638133]
 [  37.7770577 -122.4654436]
 [  37.7771695 -122.462781 ]
 [  37.7770107 -122.463509 ]
 [  37.777232  -122.4616004]]",6
6,[[  37.7821854 -122.4480204]],1
7,"[[  37.7816161 -122.4166441]
 [  37.7806944 -122.4165417]]",2
8,"[[  37.7882366 -122.4476918]
 [  37.7880728 -122.4468073]]",2
9,"[[  37.7851005 -122.4320079]
 [  37.7835633 -122.4323464]
 [  37.7858532 -122.4285577]
 [  37.7849587 -122.4321287]
 [  37.7862424 -122.430058 ]
 [  37.7836806 -122.4330028]
 [  37.7840967 -122.4326346]
 [  37.7853725 -122.4294569]
 [  37.7857723 -122.4301334]
 [  37.7861951 -122.4297953]
 [  37.7819622 -122.4326419]
 [  37.782449  -122.4326928]
 [  37.7851509 -122.4320399]
 [  37.7834015 -122.4332076]
 [  37.7838476 -122.4330165]
 [  37.7868703 -122.42821  ]
 [  37.7849896 -122.4323324]
 [  37.7820748 -122.4326567]]",18
10,"[[  37.7886107 -122.4340502]
 [  37.7908403 -122.4343793]
 [  37.7893985 -122.4341527]
 [  37.7889807 -122.4343217]
 [  37.7893607 -122.4341389]
 [  37.7880414 -122.4338098]]",6
11,"[[  37.7676779 -122.4284147]
 [  37.7687195 -122.429274 ]
 [  37.7687195 -122.429274 ]]",3
