,0,Count
0,"[[  37.3484542 -121.8951489]
 [  37.348897  -121.8948279]
 [  37.3487614 -121.8951019]
 [  37.3497867 -121.8937105]
 [  37.3493104 -121.8940744]
 [  37.3492772 -121.8939983]
 [  37.3494387 -121.8938432]
 [  37.3497867 -121.8937105]]",8
1,"[[  37.339131   -121.8839459 ]
 [  37.3322747  -121.8845591 ]
 [  37.3372376  -121.8872292 ]
 [  37.3385714  -121.885846  ]
 [  37.333583   -121.8853244 ]
 [  37.3384053  -121.8847889 ]
 [  37.3358795  -121.893622  ]
 [  37.3353729  -121.8926458 ]
 [  37.3310057  -121.8836287 ]
 [  37.3317796  -121.8860702 ]
 [  37.3366405  -121.8846744 ]
 [  37.336561   -121.8941318 ]
 [  37.3346877  -121.8941474 ]
 [  37.339131   -121.8839459 ]
 [  37.3300768  -121.8862249 ]
 [  37.3305269  -121.8861817 ]
 [  37.3336388  -121.8874272 ]
 [  37.3331008  -121.888728  ]
 [  37.3346731  -121.8887824 ]
 [  37.3372583  -121.8886887 ]
 [  37.3363888  -121.8897848 ]
 [  37.3349894  -121.8895064 ]
 [  37.3367535  -121.8888688 ]
 [  37.3347805  -121.8892261 ]
 [  37.3313416  -121.8871374 ]
 [  37.33539    -121.8896654 ]
 [  37.3351002  -121.8899603 ]
 [  37.3353355  -121.8927704 ]
 [  37.3351487  -121.8931621 ]
 [  37.3350112  -121.8898964 ]
 [  37.3303006  -121.886382  ]
 [  37.3308173  -121.8879329 ]
 [  37.3301876  -121.8865899 ]
 [  37.3358295  -121.8927479 ]
 [  37.3301308  -121.8865285 ]
 [  37.3350957  -121.8935019 ]
 [  37.3303358  -121.8864002 ]
 [  37.3301959  -121.8863016 ]
 [  37.336259   -121.8898133 ]
 [  37.3346731  -121.8887824 ]
 [  37.3301937  -121.8870869 ]
 [  37.335075   -121.8907773 ]
 [  37.3397841  -121.8823489 ]
 [  37.3356527  -121.8912028 ]
 [  37.33542622 -121.88963473]
 [  37.3362267  -121.8938818 ]
 [  37.3362926  -121.8939311 ]
 [  37.3365265  -121.8943707 ]
 [  37.3364251  -121.8949648 ]
 [  37.3365173  -121.8950295 ]
 [  37.3354307  -121.8933631 ]
 [  37.3365265  -121.8943707 ]
 [  37.3358795  -121.893622  ]
 [  37.3347805  -121.8892261 ]
 [  37.3308173  -121.8879329 ]
 [  37.3353729  -121.8926458 ]]",56
2,[[  37.3559824 -121.9050897]],1
3,[[  37.3521773 -121.9020564]],1
4,[[  37.3195436 -121.8642309]],1
5,[[  37.3686068 -121.9078235]],1
6,"[[  37.3331842 -121.8748645]
 [  37.3331782 -121.8758013]
 [  37.3326634 -121.8753317]]",3
7,[[  37.3588832 -121.9027679]],1
8,[[  37.3656611 -121.9079129]],1
9,[[  37.3913986 -122.0800827]],1
10,"[[  37.3599515 -121.8912605]
 [  37.3585258 -121.8901246]
 [  37.3585258 -121.8901246]
 [  37.3585258 -121.8901246]]",4
11,[[  37.3708221 -121.9169174]],1
