,0,Count
0,"[[  47.6103652 -122.3425604]
 [  47.6054633 -122.3402518]
 [  47.610365  -122.3417   ]
 [  47.6094509 -122.3425459]
 [  47.6066052 -122.3384085]
 [  47.608994  -122.3405592]
 [  47.6099152 -122.3423799]
 [  47.607309  -122.3381331]
 [  47.6080322 -122.338974 ]
 [  47.6094243 -122.3412192]
 [  47.60802   -122.3349472]
 [  47.6090843 -122.3409379]
 [  47.6083333 -122.3416667]
 [  47.6084776 -122.3399556]
 [  47.6079914 -122.3338074]
 [  47.6093707 -122.3393561]
 [  47.6099177 -122.3415365]
 [  47.6105739 -122.3412987]
 [  47.6095818 -122.3418983]
 [  47.6090398 -122.3405168]
 [  47.6106632 -122.3443931]
 [  47.6113741 -122.3449459]
 [  47.610365  -122.3417   ]
 [  47.6089658 -122.3372014]
 [  47.6110132 -122.3475165]
 [  47.6106445 -122.3447539]
 [  47.6049225 -122.3377708]]",27
1,"[[  47.6132572 -122.3323527]
 [  47.613529  -122.332408 ]
 [  47.6125343 -122.3353015]
 [  47.612587  -122.3353584]
 [  47.6124386 -122.3363822]
 [  47.6131124 -122.3334204]
 [  47.6117468 -122.3352052]
 [  47.6123793 -122.3374736]
 [  47.6122462 -122.3372983]
 [  47.6131124 -122.3334204]
 [  47.6118319 -122.335283 ]]",11
2,"[[  47.6128683  -122.3242173 ]
 [  47.615013   -122.3280631 ]
 [  47.613919   -122.3241441 ]
 [  47.6153469  -122.3242893 ]
 [  47.6143322  -122.3252057 ]
 [  47.6151074  -122.3222966 ]
 [  47.6154379  -122.3253807 ]
 [  47.6141375  -122.3276509 ]
 [  47.615382   -122.3271498 ]
 [  47.614192   -122.3231553 ]
 [  47.614385   -122.327591  ]
 [  47.6144039  -122.3280596 ]
 [  47.6143076  -122.3223545 ]
 [  47.6141819  -122.3223938 ]
 [  47.61408    -122.32553   ]
 [  47.61467127 -122.32814186]
 [  47.6146314  -122.3280564 ]
 [  47.615382   -122.3271498 ]]",18
3,[[  47.610257  -122.3328019]],1
4,"[[  47.6147368 -122.3371773]
 [  47.6146633 -122.3374525]
 [  47.615103  -122.3371302]
 [  47.6149201 -122.3350842]
 [  47.6156966 -122.3402339]
 [  47.6133184 -122.3401856]
 [  47.6128598 -122.3406134]
 [  47.6134065 -122.3403308]
 [  47.6153745 -122.3403211]
 [  47.6147031 -122.3385215]
 [  47.6150536 -122.3380046]
 [  47.61351   -122.34175  ]]",12
5,"[[  47.6147255 -122.3144481]
 [  47.6130525 -122.3192713]
 [  47.613069  -122.313972 ]
 [  47.6154096 -122.3162245]
 [  47.61508   -122.314478 ]
 [  47.6139839 -122.3192244]
 [  47.6173159 -122.3166259]
 [  47.6130479 -122.3185711]
 [  47.6179117 -122.3164736]
 [  47.6150882 -122.3126065]
 [  47.6146106 -122.3171338]
 [  47.6148992 -122.3196431]
 [  47.6158998 -122.3170593]
 [  47.613394  -122.3196115]
 [  47.6186004 -122.3167084]
 [  47.6151941 -122.3130161]
 [  47.6120786 -122.3171112]
 [  47.6141    -122.31685  ]
 [  47.615194  -122.3130177]
 [  47.6156608 -122.3165229]]",20
6,[[  47.6130818 -122.3016427]],1
7,[[  47.6271465 -122.3076314]],1
8,[[  47.6021319 -122.2849017]],1
9,[[  47.6124713 -122.2891796]],1
10,[[  47.6081102 -122.2964476]],1
11,"[[  47.6060804 -122.314614 ]
 [  47.6069979 -122.3166003]]",2
12,[[  47.6180713 -122.3261903]],1
13,"[[  47.6193103 -122.3382151]
 [  47.6229136 -122.3386539]
 [  47.6221942 -122.3365534]
 [  47.622485  -122.3338633]
 [  47.6239414 -122.3391927]
 [  47.6232931 -122.3315126]
 [  47.6217948 -122.3369462]
 [  47.6211254 -122.3369869]
 [  47.6237776 -122.335088 ]
 [  47.6237978 -122.3349258]
 [  47.622477  -122.3302537]
 [  47.6241627 -122.3395719]
 [  47.6206914 -122.3339881]
 [  47.6233692 -122.3369207]
 [  47.6219142 -122.3400841]
 [  47.6203845 -122.3338629]
 [  47.6238049 -122.3369837]
 [  47.6205241 -122.3396127]
 [  47.6230785 -122.3369198]
 [  47.6205512 -122.3395949]
 [  47.6196007 -122.3376246]
 [  47.62082   -122.33043  ]
 [  47.621843  -122.3374189]
 [  47.6215227 -122.3399096]]",24
14,"[[  47.6387234 -122.3566423]
 [  47.6386933 -122.3571029]
 [  47.6385683 -122.3567435]
 [  47.6387234 -122.3566423]]",4
15,"[[  47.624725   -122.3568746 ]
 [  47.624392   -122.356115  ]
 [  47.623931   -122.3552546 ]
 [  47.6242609  -122.35513624]]",4
16,"[[  47.6298609 -122.3304216]
 [  47.629124  -122.33172  ]
 [  47.6291083 -122.3318471]
 [  47.6277544 -122.3331704]
 [  47.6288139 -122.3317028]]",5
17,"[[  47.6269424 -122.3425929]
 [  47.6272525 -122.3421365]
 [  47.6267422 -122.3425282]]",3
18,"[[  47.626102  -122.3391079]
 [  47.6265993 -122.3395   ]]",2
19,"[[  47.6205603 -122.3214258]
 [  47.6246184 -122.3212368]
 [  47.6207211 -122.3205147]
 [  47.6223367 -122.3207457]
 [  47.6224369 -122.320743 ]
 [  47.6222499 -122.3206002]
 [  47.6215626 -122.3206264]
 [  47.624876  -122.3205985]
 [  47.6248082 -122.3211485]
 [  47.6205603 -122.3214258]
 [  47.6251845 -122.3217843]
 [  47.6205778 -122.3212986]
 [  47.6249584 -122.3206748]
 [  47.62361   -122.320586 ]
 [  47.6228073 -122.3205297]]",15
20,[[  47.6256943 -122.3459624]],1
